id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
108061,Rental unit in Asheville · ★4.51 · 1 bedroom · 1 bed · 1 bath,320564,Lisa,,28801,35.6067,-82.55563,Entire home/apt,100,30,92,2022-12-11,0.64,2,319,2,
155305,Guesthouse in Asheville · ★4.59 · 1 bedroom · 1 bed · 1 bath,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,101,1,389,2023-06-11,2.69,7,342,30,
156805,Home in Asheville · ★4.52 · 1 bedroom · 1 bed · 2.5 shared baths,746673,BonPaul,,28806,35.57864,-82.59578,Private room,66,1,67,2020-01-01,0.47,7,0,0,
156926,Hostel in Asheville · ★4.69 · 1 bedroom · 6 beds · 2.5 shared baths,746673,BonPaul,,28806,35.57864,-82.59578,Shared room,28,1,327,2023-06-05,2.28,7,365,19,
197263,Home in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 private bath,961396,Timo,,28806,35.57808,-82.63689,Private room,45,2,68,2023-05-28,0.51,2,82,15,
209068,Guest suite in Asheville · ★4.87 · 1 bedroom · 2 beds · 1 bath,1029919,Kevin,,28804,35.61856,-82.55276,Entire home/apt,110,30,60,2022-10-31,0.42,1,292,2,
246315,Cabin in Asheville · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,1292070,Annie,,28805,35.59635,-82.50655,Private room,68,7,57,2019-10-30,0.41,3,57,0,
259576,Rental unit in Asheville · ★4.93 · 1 bedroom · 1 bed · 1 bath,1362726,Julia,,28805,35.61929,-82.48114,Entire home/apt,83,2,784,2023-06-15,5.58,2,55,103,
304379,Guesthouse in Asheville · ★4.90 · 2 bedrooms · 2 beds · 1 bath,1566145,Gayle,,28804,35.64453,-82.52586,Entire home/apt,219,30,24,2019-08-03,0.18,2,157,0,
314540,Home in Asheville · ★5.0 · 4 bedrooms · 5 beds · 2 baths,381660,Tom,,28806,35.58574,-82.62676,Entire home/apt,285,1,6,2023-06-11,0.04,1,241,2,
353092,Guest suite in Asheville · ★4.86 · 1 bedroom · 3 beds · 1 bath,1788071,Beth,,28806,35.58217,-82.59997,Entire home/apt,65,2,536,2023-06-14,4.49,1,128,20,
427497,Guest suite in Asheville · ★4.98 · 1 bedroom · 1 bed · 1 bath,1909922,Milan,,28803,35.49111,-82.48438,Entire home/apt,159,2,47,2021-11-21,0.36,1,365,0,
436476,Guest suite in Asheville · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,478398,Heidi,,28801,35.60182,-82.56174,Entire home/apt,138,2,370,2023-05-31,2.75,3,78,26,
483384,Cottage in Asheville · ★4.98 · 1 bedroom · 1 bed · 1 bath,467421,Camille,,28806,35.57025,-82.57429,Entire home/apt,154,1,701,2023-06-05,6.60,1,285,80,
498089,Rental unit in Asheville · ★4.76 · 1 bedroom · 1 bed · 1 bath,2164379,Anne Marie,,28801,35.61225509643555,-82.54288482666016,Entire home/apt,171,30,134,2022-01-31,1.00,1,177,0,
528535,Guest suite in Asheville · ★4.66 · 1 bedroom · 1 bed · 1 bath,2596933,B,,28801,35.60075,-82.5539,Entire home/apt,236,90,356,2022-11-08,2.66,2,89,1,
621243,Rental unit in Asheville · ★4.82 · 1 bedroom · 2 beds · 1 bath,3079174,Molly,,28801,35.60418,-82.54964,Entire home/apt,160,30,130,2023-06-05,2.04,1,153,17,
660702,Home in Asheville · ★4.73 · 2 bedrooms · 1 bed · 1 bath,3335271,Brady,,28804,35.621288,-82.553017,Entire home/apt,75,1,706,2023-05-29,7.90,1,324,90,
674894,Home in Asheville · ★4.65 · 1 bedroom · 1 bed · 1 private bath,614610,Linda,,28805,35.62272,-82.50285,Private room,58,2,249,2023-05-29,2.02,2,362,16,
695196,Home in Asheville · ★4.68 · 1 bedroom · 1 bed · 1 private bath,3552264,Michelle,,28801,35.58131,-82.55741,Private room,63,1,1109,2022-11-13,8.50,2,0,21,
723349,Bed and breakfast in Asheville · ★4.79 · 1 bedroom · 2 beds · 1 private bath,3736218,Mary,,28801,35.57468,-82.55705,Private room,249,2,14,2022-11-27,0.13,7,317,1,
751963,Home in Asheville · ★4.87 · 4 bedrooms · 4 beds · 2.5 baths,3920284,Lauralee,,28806,35.57805,-82.58342,Entire home/apt,95,1,100,2018-10-28,0.81,1,0,0,
815068,Home in Asheville · ★4.87 · 2 bedrooms · 2 beds · 1 bath,1111171,Tom,,28804,35.64578,-82.52542,Entire home/apt,80,30,315,2022-12-28,2.46,1,230,2,
840696,Home in Asheville · ★4.98 · 2 bedrooms · 2 beds · 2 baths,4390477,Michael,,28801,35.58395,-82.56161,Entire home/apt,253,2,536,2023-05-30,4.21,1,289,49,
846221,Home in Asheville · ★4.72 · 3 bedrooms · 4 beds · 1.5 baths,4418555,Bart,,28804,35.64271,-82.51219,Entire home/apt,198,2,125,2022-10-29,1.01,1,364,3,
875735,Home in Asheville · ★4.71 · 1 bedroom · 1 bed · 1 private bath,4632589,Jason,,28805,35.58617,-82.50657,Private room,185,2,197,2023-03-06,1.63,1,365,15,
881707,Guest suite in Asheville · ★4.88 · Studio · 1 bed · 1 bath,4664726,Jakub & Maria,,28806,35.56893,-82.59475,Entire home/apt,95,3,930,2023-06-15,7.87,3,286,112,
910737,Home in Asheville · ★4.86 · 2 bedrooms · 2 beds · 1 bath,4455863,Lori,,28806,35.60321,-82.5961,Entire home/apt,151,2,37,2023-05-01,0.30,1,121,14,
942934,Home in Asheville · ★4.94 · 1 bedroom · 1 bed · 1 private bath,5100332,Pat,,28806,35.57312,-82.59092,Private room,77,2,631,2023-06-16,5.05,1,169,41,
943832,Home in Asheville · ★4.66 · 3 bedrooms · 3 beds · 1.5 baths,5107042,Terri,,28801,35.6117,-82.57668,Entire home/apt,257,30,161,2023-05-07,1.32,2,345,11,
976034,Rental unit in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 bath,5340154,Ar,,28803,35.55544,-82.48361,Entire home/apt,151,2,163,2019-05-27,1.31,1,365,0,
977054,Guesthouse in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 bath,4302936,Anne & Joe,,28804,35.6157,-82.55594,Entire home/apt,130,30,78,2023-05-02,0.63,1,260,2,
1039028,Tiny home in Asheville · ★4.99 · 1 bedroom · 1 bed · 1.5 baths,4143638,Tim And Muffi,,28803,35.55144,-82.49132,Entire home/apt,105,2,261,2023-05-23,2.15,2,255,20,
1066156,Cottage in Asheville · ★4.99 · 1 bedroom · 2 beds · 1 bath,4834939,Jessica,,28804,35.6461,-82.51605,Entire home/apt,174,2,662,2023-06-11,5.35,2,230,68,
1127777,Bungalow in Asheville · ★4.90 · 1 bedroom · 1 bed · 1 private bath,6187751,Hun,,28806,35.57381,-82.59377,Private room,84,2,318,2023-06-04,2.62,1,175,12,
1212352,Rental unit in Asheville · ★4.79 · 1 bedroom · 1 bed · 1 bath,6618494,Reid,,28801,35.59942,-82.56189,Entire home/apt,95,30,264,2021-11-18,2.19,3,69,0,
1297717,Guest suite in Asheville · ★4.66 · Studio · 1 bed · 1 bath,614610,Linda,,28805,35.62277,-82.50215,Entire home/apt,85,2,104,2023-02-25,0.86,2,297,1,
1312301,Rental unit in Asheville · ★4.79 · 2 bedrooms · 1 bed · 1 bath,7130739,Marta,,28805,35.58247,-82.49987,Entire home/apt,95,2,92,2023-05-28,0.76,1,344,6,
1332684,Rental unit in Asheville · ★4.72 · 1 bedroom · 1 bed · 1 bath,2799158,Kari,,28806,35.5834,-82.59126,Entire home/apt,60,30,498,2023-04-28,4.16,1,156,5,
1376343,Home in Asheville · 1 bedroom · 3 beds · 1 bath,7456981,Debi,,28805,35.57253,-82.52143,Entire home/apt,100,31,0,,,1,297,0,
1392363,Bungalow in Asheville · ★4.85 · 2 bedrooms · 3 beds · 1 bath,7527127,Theo,,28804,35.62447,-82.57928,Entire home/apt,146,2,93,2023-05-23,1.57,3,10,22,
1393012,Home in Arden · ★4.97 · 1 bedroom · 1 bed · 1 private bath,7523601,Karen,,28704,35.46158,-82.53984,Private room,79,1,124,2023-06-07,1.06,1,359,12,
1421061,Rental unit in Asheville · ★4.94 · 1 bedroom · 1 bed · 1 bath,483350,Emilio And Kate,,28803,35.57597,-82.53695,Entire home/apt,141,2,139,2023-05-30,1.15,1,273,5,
1466495,Bungalow in Candler · ★4.81 · 1 bedroom · 1 bed · 1 bath,7307939,Jeffrey,,28715,35.56843,-82.65529,Entire home/apt,85,2,17,2022-06-05,0.14,1,0,0,
1475299,Home in Asheville · ★5.0 · 3 bedrooms · 2 beds · 1.5 baths,1566145,Gayle,,28804,35.64455,-82.52651,Entire home/apt,195,3,27,2022-03-28,0.23,2,308,0,
1569954,Home in Asheville · ★4.89 · 1 bedroom · 1 bed · 1 bath,8348149,Deborah,,28801,35.61156,-82.55237,Private room,70,30,39,2015-11-02,0.33,1,335,0,
1571095,Guesthouse in Asheville · ★4.91 · Studio · 1 bed · 1 bath,8345942,Sherry,,28803,35.57357,-82.53846,Entire home/apt,89,2,126,2023-06-11,1.59,1,48,12,
1574329,Bed and breakfast in Asheville · ★4.80 · 1 bedroom · 1 bed · 1 private bath,3736218,Mary,,28801,35.57478,-82.55719,Private room,199,2,5,2021-06-29,0.06,7,308,0,
1578831,Rental unit in Asheville · ★4.71 · 1 bedroom · 1 bed · 1 bath,6618494,Reid,,28801,35.60603,-82.55362,Entire home/apt,79,30,225,2022-11-17,1.89,3,27,3,
1586906,Home in Asheville · ★4.95 · 1 bedroom · 1 bed · 1 private bath,5601328,Mary,,28801,35.60823,-82.56212,Private room,90,2,279,2023-05-31,2.36,1,269,26,
1684109,Home in Asheville · ★4.98 · 3 bedrooms · 6 beds · 2.5 baths,4117051,Louise And Steve,,28805,35.60792,-82.48789,Entire home/apt,275,3,161,2023-05-29,1.37,3,280,17,
1728187,Home in Asheville · ★4.69 · 2 bedrooms · 2 beds · 1 bath,320564,Lisa,,28801,35.60644,-82.55594,Entire home/apt,200,7,55,2023-04-02,0.50,2,148,3,
1768955,Rental unit in Asheville · ★4.89 · 1 bedroom · 1 bed · 1 bath,12874214,David,,28801,35.60368,-82.55647,Entire home/apt,130,2,123,2023-06-03,1.04,2,332,54,
1827412,Rental unit in Asheville · ★4.76 · 1 bedroom · 1 bed · 2 shared baths,7625694,John,,28801,35.59224,-82.5512,Private room,96,2,483,2023-05-14,4.23,9,325,18,
1843828,Home in Asheville · ★4.95 · 2 bedrooms · 2 beds · 2 baths,9617701,Diane & Dick,,28804,35.64752,-82.5309,Entire home/apt,250,3,91,2021-01-02,0.79,1,0,0,
1851921,Guest suite in Asheville · ★4.87 · 1 bedroom · 1 bed · 1 bath,1816805,Audrey,,28801,35.59467,-82.54444,Entire home/apt,129,3,39,2023-05-29,0.49,1,8,8,
1879067,Home in Asheville · ★4.96 · 1 bedroom · 2 beds · 1 bath,313613,Alyson,,28806,35.56677,-82.61641,Entire home/apt,109,2,78,2023-06-12,3.18,1,251,41,
2072026,Guest suite in Asheville · ★4.94 · 1 bedroom · 2 beds · 1 bath,8533528,Susan,,28804,35.63647,-82.54949,Entire home/apt,128,2,387,2023-06-11,3.41,1,160,30,
2176375,Home in Asheville · ★4.92 · 1 bedroom · 1 bed · 1 bath,11100294,Jane,,28806,35.56778,-82.58778,Entire home/apt,50,29,222,2023-04-23,1.95,2,245,4,
2209375,Bungalow in Asheville · ★4.49 · 2 bedrooms · 2 beds · 1 bath,2596933,B,,28801,35.6013,-82.55634,Entire home/apt,135,90,146,2022-07-31,1.31,2,88,2,
2222067,Guest suite in Asheville · ★4.87 · 1 bedroom · 1 bed · 1 bath,11336944,Sharon,,28801,35.58225,-82.55814,Entire home/apt,99,2,387,2023-06-12,4.33,1,150,44,
2254521,Bungalow in Asheville · ★4.75 · 1 bedroom · 1 bed · 1 private bath,546222,Martha,,28806,35.56893,-82.56834,Private room,65,28,36,2021-08-31,0.32,1,353,0,
2326086,Loft in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 bath,2307713,Krista,,28801,35.59541,-82.55329,Entire home/apt,126,1,722,2023-06-12,6.35,3,77,104,
2411109,Home in Asheville · ★4.89 · 1 bedroom · 1 bed · 1 private bath,7535860,Rita,,28801,35.60048,-82.55759,Private room,99,1,1079,2023-06-02,9.60,1,324,93,
2454666,Rental unit in Asheville · ★4.89 · 2 bedrooms · 2 beds · 1 bath,10240937,Joe,,28806,35.57943,-82.58682,Entire home/apt,156,2,337,2023-06-11,3.00,1,277,34,
2477628,Home in Asheville · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,8035294,Alicia,,28801,35.58939,-82.56782,Entire home/apt,225,60,195,2023-04-22,1.74,3,16,13,
2569529,Condo in Asheville · ★5.0 · 2 bedrooms · 2 beds · 2 baths,8671251,Heather,,28801,35.60045,-82.55587,Entire home/apt,85,180,12,2016-07-04,0.11,1,365,0,
2605869,Home in Asheville · ★4.55 · 6 bedrooms · 8 beds · 3.5 baths,9385592,Kelsey,,28805,35.61582,-82.48318,Entire home/apt,775,2,40,2022-08-01,0.36,5,9,1,
2607570,Rental unit in Asheville · ★4.72 · 1 bedroom · 2 beds · 1 bath,13238922,Irma,,28801,35.60606,-82.54351,Entire home/apt,83,30,157,2022-08-02,1.41,1,351,1,
2925486,Place to stay in Asheville · ★4.92 · 1 bedroom · 2 beds · 1 bath,14937363,Melanie,,28805,35.58693,-82.50327,Entire home/apt,133,1,360,2023-05-29,3.24,1,215,25,
3040444,Guest suite in Asheville · ★4.93 · 1 bedroom · 1 bed · 1 bath,12874214,David,,28801,35.60329,-82.55617,Entire home/apt,99,2,623,2023-06-15,5.66,2,360,63,
3066648,Home in Asheville · ★4.80 · 1 bedroom · 1 bed · 1 bath,10535408,David,,28801,35.59117126464844,-82.56571197509766,Entire home/apt,80,105,186,2023-03-31,1.69,1,136,2,
3084395,Bungalow in Asheville · ★4.84 · 2 bedrooms · 2 beds · 1 bath,15694798,Josh,,28804,35.6241,-82.53003,Entire home/apt,145,1,325,2023-06-11,2.95,2,307,13,
3095136,Cabin in Asheville · ★4.82 · 3 bedrooms · 3 beds · 1 bath,15694798,Josh,,28806,35.59519,-82.63967,Entire home/apt,225,1,411,2023-05-12,3.72,2,241,20,
3220474,Home in Asheville · ★4.74 · 1 bedroom · 1 bed · 1 private bath,16296123,Allison & Peter,,28803,35.49069,-82.51348,Private room,46,1,873,2023-04-23,7.98,3,27,100,
3225871,Guest suite in Fletcher · ★4.42 · 1 bedroom · 1 bed · 1 bath,16293519,Ellen,,28732,35.4394,-82.50569,Entire home/apt,33,1,90,2019-09-16,1.04,1,47,0,
3268747,Rental unit in Asheville · ★5.0 · 2 bedrooms · 2 beds · 2 baths,1936889,Kathleen,,28805,35.57215,-82.53483,Entire home/apt,170,4,3,2022-09-05,0.13,1,0,1,
3314819,Home in Asheville · ★4.75 · 1 bedroom · 1 bed · 1 private bath,16296123,Allison & Peter,,28803,35.49097,-82.51284,Private room,50,1,1196,2023-06-13,10.93,3,66,133,
3369973,Home in Asheville · ★4.94 · 2 bedrooms · 2 beds · 2 baths,12087030,Marie,,28803,35.58215,-82.5475,Entire home/apt,209,2,253,2023-04-11,2.99,1,117,23,
3405282,Cabin in Asheville · ★4.95 · 1 bedroom · 2 beds · 1 bath,17173574,Scott & Catherine,,28801,35.61206,-82.5441,Entire home/apt,81,29,22,2023-03-31,0.23,1,213,3,
3445336,Home in Asheville · 2 bedrooms · 2 beds · 1 bath,17363326,Michael,,28801,35.59183,-82.54579,Entire home/apt,150,30,0,,,2,365,0,
3454237,Bungalow in Asheville · ★4.64 · 2 bedrooms · 2 beds · 1 bath,6619953,Becky,,28805,35.59006,-82.50414,Entire home/apt,80,30,77,2022-09-05,0.71,1,168,1,
